City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Changji,CN,2021-11-23 03:40:45,44.0167,87.3167,38.19,44,0,13.42
244,Rawson,AR,2021-11-23 03:38:58,-43.3002,-65.1023,50.81,56,90,12.06
245,Shunyi,CN,2021-11-23 03:40:46,40.125,116.6453,37.35,25,0,2.24
246,Znamenskoye,RU,2021-11-23 03:40:46,57.1281,73.8282,26.28,96,100,8.55
247,Carupano,VE,2021-11-23 03:40:47,10.6678,-63.2585,75.94,91,25,6.02
248,Comodoro Rivadavia,AR,2021-11-23 03:40:47,-45.8667,-67.5,51.66,40,0,9.22
249,Banda Aceh,ID,2021-11-23 03:40:47,5.5577,95.3222,83.46,71,95,7.29
250,Aquiraz,BR,2021-11-23 03:40:48,-3.9014,-38.3911,82.49,80,100,12.86
251,Syasstroy,RU,2021-11-23 03:40:48,60.1367,32.5691,24.91,87,99,6.51
252,Atar,MR,2021-11-23 03:40:49,20.5169,-13.0499,76.24,43,99,8.43
253,Bitkine,TD,2021-11-23 03:40:49,11.9801,18.2138,75.04,24,100,4.88
254,Isangel,VU,2021-11-23 03:37:47,-19.55,169.2667,87.91,74,75,9.22
255,Santana Do Livramento,BR,2021-11-23 03:40:50,-30.8908,-55.5328,71.33,36,0,8.46
256,Khorixas,NA,2021-11-23 03:40:50,-20.3667,14.9667,56.17,44,0,2.33
257,Polunochnoye,RU,2021-11-23 03:40:50,60.8697,60.4153,13.69,84,100,5.97
258,Somanda,TZ,2021-11-23 03:40:51,-3.3667,33.95,72.73,51,93,4.65
259,Phayakkhaphum Phisai,TH,2021-11-23 03:40:51,15.5163,103.1937,75.72,65,100,13.65
260,Faya,SA,2021-11-23 03:38:17,18.3851,42.4509,53.71,64,11,2.04
261,Conakry,GN,2021-11-23 03:40:51,9.538,-13.6773,77.36,79,5,2.84
262,Normandin,CA,2021-11-23 03:40:52,48.8333,-72.5321,22.62,73,53,3.44
263,Karratha,AU,2021-11-23 03:40:52,-20.7377,116.8463,90.59,43,82,10.74
264,Goderich,CA,2021-11-23 03:38:40,43.7501,-81.7165,36.91,55,99,16.11
265,Phan Thiet,VN,2021-11-23 03:40:53,10.9333,108.1,81.45,75,96,8.66
266,Lasa,IT,2021-11-23 03:40:53,46.6166,10.7002,40.08,89,65,2.93
267,Shubarshi,KZ,2021-11-23 03:40:54,48.5872,57.1869,36.79,98,100,7.49
268,Souillac,MU,2021-11-23 03:40:54,-20.5167,57.5167,78.37,88,40,6.91
269,Cayenne,GF,2021-11-23 03:40:55,4.9333,-52.3333,81.09,85,75,1.99
270,Nantucket,US,2021-11-23 03:40:55,41.2835,-70.0995,46.51,68,90,20.71
271,Oksfjord,NO,2021-11-23 03:41:56,70.2396,22.3479,27.52,91,100,8.81
272,Hobyo,SO,2021-11-23 03:41:56,5.3505,48.5268,80.01,69,84,9.04
273,Cherskiy,RU,2021-11-23 03:41:56,68.75,161.3,-32.31,100,40,3.24
274,Parakan,ID,2021-11-23 03:41:57,-6.4191,106.0081,82.44,94,100,4.45
275,Vao,NC,2021-11-23 03:41:57,-22.6667,167.4833,75.22,79,99,10.47
276,Warrington,GB,2021-11-23 03:40:42,53.3925,-2.5802,46.85,93,75,1.01
277,Plettenberg Bay,ZA,2021-11-23 03:41:58,-34.0527,23.3716,60.49,78,99,7.4
278,Byron Bay,AU,2021-11-23 03:41:58,-28.65,153.6167,78.76,73,37,10.22
279,Fallon,US,2021-11-23 03:41:58,39.4735,-118.7774,31.87,69,1,6.91
280,Teguise,ES,2021-11-23 03:41:58,29.0605,-13.564,62.82,88,0,3.44
281,Siilinjarvi,FI,2021-11-23 03:41:59,63.0833,27.6667,26.62,93,90,3.44
282,Sukhobezvodnoye,RU,2021-11-23 03:41:59,57.0491,44.8891,16.84,88,52,10.25
283,Fortuna,US,2021-11-23 03:42:00,40.5982,-124.1573,49.93,94,90,0.0
284,Gulu,UG,2021-11-23 03:42:00,2.7746,32.299,65.53,68,100,1.95
285,Severo-Kurilsk,RU,2021-11-23 03:38:58,50.6789,156.125,38.1,85,96,19.57
286,La Reforma,MX,2021-11-23 03:42:01,25.0833,-108.05,70.25,72,74,5.53
287,Teguldet,RU,2021-11-23 03:42:01,57.3064,88.1667,28.63,84,100,13.22
288,Tuatapere,NZ,2021-11-23 03:42:01,-46.1333,167.6833,58.15,66,48,8.75
289,Santa Ines,BR,2021-11-23 03:42:02,-3.6667,-45.38,75.63,86,99,3.18
290,Napuro,PH,2021-11-23 03:42:02,12.0273,124.7082,89.38,59,29,7.52
291,Wewak,PG,2021-11-23 03:42:02,-3.5534,143.6268,83.62,77,43,6.26
292,Boulder,US,2021-11-23 03:40:39,40.0833,-105.3505,47.52,31,1,8.01
293,Viedma,AR,2021-11-23 03:42:03,-40.8135,-62.9967,49.93,66,8,7.65
294,College,US,2021-11-23 03:42:03,64.8569,-147.8028,1.58,62,90,9.22
295,Moree,AU,2021-11-23 03:42:04,-29.4667,149.85,84.22,42,40,17.27
