City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
99,Thompson,CA,55.7435,-97.8558,-2.04,78,90,3.44,overcast clouds
100,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.27,82,63,10.78,broken clouds
101,Menomonee Falls,US,43.1789,-88.1173,26.38,76,90,4.0,light snow
102,Rafai,CF,4.95,23.9167,66.54,50,41,2.95,scattered clouds
103,Bambous Virieux,MU,-20.3428,57.7575,73.65,88,40,3.44,scattered clouds
104,Ucluelet,CA,48.9329,-125.5528,52.09,94,100,3.33,overcast clouds
105,Emerald,AU,-23.5333,148.1667,84.34,61,75,5.75,broken clouds
106,Iquique,CL,-20.2208,-70.1431,64.44,74,33,0.51,scattered clouds
107,Srednekolymsk,RU,67.45,153.6833,-33.84,100,20,1.83,few clouds
108,Dingle,PH,10.9995,122.6711,84.51,77,89,7.56,overcast clouds
109,Hithadhoo,MV,-0.6,73.0833,81.3,69,85,11.83,overcast clouds
110,Katsuura,JP,35.1333,140.3,59.11,49,0,4.85,clear sky
111,Kwinana,AU,-32.25,115.7667,84.81,46,50,1.14,scattered clouds
112,Airai,TL,-8.9266,125.4092,76.26,58,33,1.32,scattered clouds
113,Bredasdorp,ZA,-34.5322,20.0403,62.28,76,71,27.31,broken clouds
114,Calbuco,CL,-41.768,-73.1273,52.81,72,100,12.8,overcast clouds
115,Vestmannaeyjar,IS,63.4427,-20.2734,30.34,67,0,27.47,clear sky
116,Marevo,RU,57.3146,32.0804,34.48,79,100,14.74,overcast clouds
117,Luderitz,NA,-26.6481,15.1594,57.72,95,4,1.63,clear sky
118,Williston,US,48.147,-103.618,32.92,78,98,1.01,overcast clouds
119,Kropotkin,RU,45.4375,40.5756,32.27,86,6,7.76,clear sky
120,Bethel,US,41.3712,-73.414,51.67,56,90,3.44,overcast clouds
121,Kodiak,US,57.79,-152.4072,18.91,49,1,23.02,clear sky
122,Narsaq,GL,60.9167,-46.05,35.82,99,100,5.7,moderate rain
123,Sawtell,AU,-30.3833,153.1,77.32,92,75,13.8,broken clouds
124,Sokoni,TZ,-6.4333,39.55,76.86,78,94,9.01,overcast clouds
125,Riachao,BR,-7.3619,-46.6172,74.01,88,100,0.6,overcast clouds
126,Longyearbyen,SJ,78.2186,15.6401,10.24,61,75,14.97,light snow
127,Verdun,FR,49.25,5.3333,38.08,96,58,3.31,broken clouds
128,Sola,VU,-13.8833,167.55,81.82,73,5,16.35,clear sky
129,Port-Gentil,GA,-0.7193,8.7815,81.05,79,100,8.52,overcast clouds
130,Kyra,RU,49.5776,111.9753,13.95,74,100,2.59,overcast clouds
131,Carlsbad,US,33.1581,-117.3506,71.53,14,1,1.01,clear sky
132,Itarema,BR,-2.9248,-39.9167,80.62,77,84,13.8,broken clouds
133,Sabang,ID,5.8933,95.3214,81.48,69,98,1.43,light rain
134,Lasa,IT,46.6166,10.7002,42.26,94,100,1.45,overcast clouds
135,Torbat-E Jam,IR,35.244,60.6225,42.22,84,100,3.15,overcast clouds
136,Coahuayana,MX,18.7333,-103.6833,73.54,87,0,2.28,clear sky
137,Coquimbo,CL,-29.9533,-71.3436,58.73,88,90,4.61,overcast clouds
138,Mangai,CD,-4.05,19.5333,67.87,98,91,1.61,overcast clouds
139,Imeni Poliny Osipenko,RU,52.4201,136.4853,27.0,83,100,13.98,overcast clouds
140,Juneau,US,58.3019,-134.4197,39.22,94,90,4.61,moderate rain
141,Tigil,RU,57.8,158.6667,16.3,79,34,14.2,scattered clouds
142,Richards Bay,ZA,-28.783,32.0377,64.99,75,100,2.33,overcast clouds
143,Namatanai,PG,-3.6667,152.4333,86.14,62,84,2.48,broken clouds
144,Villa Bruzual,VE,9.3328,-69.1208,73.47,91,39,3.51,scattered clouds
145,Lockhart,US,28.6194,-81.4426,66.4,74,1,4.61,clear sky
146,Mount Gambier,AU,-37.8333,140.7667,57.11,67,90,21.85,overcast clouds
147,Shediac,CA,46.2198,-64.5411,42.85,100,90,5.75,light intensity drizzle
148,Pevek,RU,69.7008,170.3133,-16.53,100,100,3.22,overcast clouds
149,Nioro,GM,13.35,-15.75,76.3,67,100,5.12,overcast clouds
150,Ola,RU,59.5833,151.2833,-1.86,76,10,11.18,clear sky
151,Severo-Kurilsk,RU,50.6789,156.125,36.16,82,82,7.27,broken clouds
152,Mvuma,ZW,-19.2792,30.5283,61.59,80,100,8.08,overcast clouds
153,Nikolskoye,RU,59.7035,30.7861,40.01,84,100,13.09,overcast clouds
154,Kalakamati,BW,-20.5929,27.3121,61.5,78,11,15.99,few clouds
155,Locri,IT,38.2414,16.2623,61.25,85,0,11.81,clear sky
156,La Ronge,CA,55.1001,-105.2842,16.05,79,75,10.36,broken clouds
157,Beloha,MG,-25.1667,45.05,61.43,73,1,5.7,clear sky
158,Broome,US,42.2506,-75.833,43.57,79,90,3.0,overcast clouds
159,Palu,ID,-0.8917,119.8707,88.25,62,100,1.88,overcast clouds
160,Rosetta,EG,31.4044,30.4164,58.82,83,14,4.74,few clouds
161,Bogale,MM,16.2833,95.4,78.87,80,83,5.39,broken clouds
